OBJECTID,lang,Titel,lat,lon,type_,pop,Height,Country,Subregion,Scale,dim,psize,style,t,image_,imagejpg,name,page_id,T_wikidata,Titel_aa,Titel_ab,Titel_ace,Titel_af,Titel_ak,Titel_als,Titel_am,Titel_an,Titel_ang,Titel_ar,Titel_arc,Titel_arz,Titel_ast,Titel_av,Titel_ay,Titel_az,Titel_ba,Titel_bar,Titel_bat_smg,Titel_bcl,Titel_be,Titel_be_x_old,Titel_bg,Titel_bh,Titel_bi,Titel_bm,Titel_bn,Titel_bo,Titel_bpy,Titel_br,Titel_bs,Titel_bug,Titel_bxr,Titel_ca,Titel_cbk_zam,Titel_cdo,Titel_ce,Titel_ceb,Titel_ch,Titel_cho,Titel_chr,Titel_chy,Titel_ckb,Titel_co,Titel_cr,Titel_crh,Titel_cs,Titel_csb,Titel_cu,Titel_cv,Titel_cy,Titel_da,Titel_de,Titel_diq,Titel_dsb,Titel_dv,Titel_dz,Titel_ee,Titel_el,Titel_eml,Titel_en,Titel_en_simple,Titel_eo,Titel_es,Titel_et,Titel_eu,Titel_ext,Titel_fa,Titel_ff,Titel_fi,Titel_fiu_vro,Titel_fj,Titel_fo,Titel_fr,Titel_frp,Titel_fur,Titel_fy,Titel_ga,Titel_gan,Titel_gd,Titel_gl,Titel_glk,Titel_gn,Titel_got,Titel_gu,Titel_gv,Titel_ha,Titel_hak,Titel_haw,Titel_he,Titel_hi,Titel_hif,Titel_ho,Titel_hr,Titel_hsb,Titel_ht,Titel_hu,Titel_hy,Titel_hz,Titel_ia,Titel_id,Titel_ie,Titel_ig,Titel_ii,Titel_ik,Titel_ilo,Titel_io,Titel_is,Titel_it,Titel_iu,Titel_ja,Titel_jbo,Titel_jv,Titel_ka,Titel_kaa,Titel_kab,Titel_kg,Titel_ki,Titel_kj,Titel_kk,Titel_kl,Titel_km,Titel_kn,Titel_ko,Titel_kr,Titel_ks,Titel_ksh,Titel_ku,Titel_kv,Titel_kw,Titel_ky,Titel_la,Titel_lad,Titel_lb,Titel_lbe,Titel_lg,Titel_li,Titel_lij,Titel_lmo,Titel_ln,Titel_lo,Titel_lt,Titel_lv,Titel_map_bms,Titel_mdf,Titel_mg,Titel_mh,Titel_mhr,Titel_mi,Titel_mk,Titel_ml,Titel_mn,Titel_mo,Titel_mr,Titel_ms,Titel_mt,Titel_mus,Titel_mwl,Titel_my,Titel_myv,Titel_mzn,Titel_na,Titel_nah,Titel_nap,Titel_nds,Titel_nds_nl,Titel_ne,Titel_new,Titel_ng,Titel_nl,Titel_nn,Titel_no,Titel_nostalgia,Titel_nov,Titel_nrm,Titel_nv,Titel_ny,Titel_oc,Titel_om,Titel_or,Titel_os,Titel_pa,Titel_pag,Titel_pam,Titel_pap,Titel_pcd,Titel_pdc,Titel_pi,Titel_pih,Titel_pl,Titel_pms,Titel_pnb,Titel_pnt,Titel_ps,Titel_pt,Titel_qu,Titel_rm,Titel_rmy,Titel_rn,Titel_ro,Titel_roa_rup,Titel_roa_tara,Titel_ru,Titel_rw,Titel_sa,Titel_sah,Titel_sc,Titel_scn,Titel_sco,Titel_sd,Titel_se,Titel_sg,Titel_sh,Titel_si,Titel_simple,Titel_sk,Titel_sl,Titel_sm,Titel_sn,Titel_so,Titel_sq,Titel_sr,Titel_srn,Titel_ss,Titel_st,Titel_stq,Titel_su,Titel_sv,Titel_sw,Titel_szl,Titel_ta,Titel_te,Titel_tet,Titel_tg,Titel_th,Titel_ti,Titel_tk,Titel_tl,Titel_tlh,Titel_tn,Titel_to,Titel_tokipona,Titel_tpi,Titel_tr,Titel_ts,Titel_tt,Titel_tum,Titel_tw,Titel_ty,Titel_udm,Titel_ug,Titel_uk,Titel_ur,Titel_uz,Titel_ve,Titel_vec,Titel_vi,Titel_vls,Titel_vo,Titel_wa,Titel_war,Titel_wo,Titel_wuu,Titel_xal,Titel_xh,Titel_yi,Titel_yo,Titel_za,Titel_zea,Titel_zh,Titel_zh_classical,Titel_zh_min_nan,Titel_zh_yue,Titel_zu,POINT_X,POINT_Y,article
1,ca,Ambato,-1.241666670000000,-78.619722220000000,city,297000,,EC,,,,"1,228.0000000",city,,Commons-logo.svg,Ecuador_Ambato_MonumentJuanMontalvo.JPG,,79975,Q210161,,,,,,,,,,أمباتو,,,,,,,,,,,Горад Амбата,,,,,,,,,,,,,Ambato,,,,,,,,,,,,,,,,,,,Ambato,,,,,,,,"Ambato, Ecuador",,Ambato (Ekvadoro),Ambato,,,,آمباتو، اکوادور,,Ambato,,,,Ambato,,,,,,,,,,,,,,,,,,,,Ambato,,,,Ամբատո,,,Ambato,,,,,,,,Ambato,,アンバート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambatas,,,,,,,,,,,,,Ambato,,,,,,,,Ambato,,,,,,,Ambato (stad),San Juan de Ambato,Ambato,,,,,,,,,,,,,,,,,,Ambato,,امباتو,,,Ambato,Ampatu llaqta,,,,Ambato,,,Амбато,,,,,,,,,,,,,San Juan de Ambato,,,,,,,,,,,,Ambato,,,,,,,,,,"Ambato, Ekwador",,,,,,,,,,,,,,Амбато,,,,,,,Ambato,,Ambato,,,,,,,,,安巴托,,,,,-78.619722219999971,-1.241666669999972,http://ca.wikipedia.org/w/index.php?curid=79975
2,ca,Antisana,-0.481388890000000,-78.140833330000007,mountain,5750,,EC,,,,"1,043.0000000",mountain,,Antisana.JPG,Antisana.JPG,,44632,Q14082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antisana,,,,,,,,,,,,,,,,,,,Antisana,,,,,,,,Antisana,,,Volcán Antisana,,,,,,,,,,Antisana,,,,,,,,,,,,,,,,,,,,,,,Antisana,,,,,,,,,,,,Antisana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antisana,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antisana,,,,,,,,Antisana,,,,,,,,,,,,Antisana,,,,,Antisana,Antisana,,,,,,,Антисана,,,,,,,,,,,,,Antisana,,,,,,,,,,,,Antisana,,,,,,,,,,,,,,,,,,,,,,,,Антісана,,,,,,,,,,,,,,,,,,安蒂薩納火山,,,,,-78.140833329999964,-0.481388889999948,http://ca.wikipedia.org/w/index.php?curid=44632
3,ca,Atacames,0.866666670000000,-79.833333330000002,city,10000,,,,,,"2,463.0000000",city,,Commons-logo.svg,Skyline_de_Tonsupa.jpg,,763939,Q753121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atacames,,,,,,,,,,,,,,,,,,,Atacames,,,,,,,,Atacames,,,Atacames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atacames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atakamesas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atacames,Atakami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.833333329999959,0.866666670000029,http://ca.wikipedia.org/w/index.php?curid=763939
4,ca,Azogues,-2.733333330000000,-78.833333330000002,city,,,EC,,,,980.0000000,city,,Commons-logo.svg,,,102748,Q786758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azogues,,,,,,,,,,,,,,,,,,,Azogues,,,,,,,,Azogues,,,Azogues,,,,,,Azogues,,,,Azogues,,,,,,,,,,,,,,,,,,,,,,,Azogues,,,,,,,,,,,,Azogues,,,,,,,,,,,,,,,,,,,,,,,,,Azogues,,,,,,,,Asogesas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azogues,,,,,,,,,,,,,,,,,,,,Azogues,,ازوگوئس,,,,Asuwi,,,,Azogues,,,,,,,,,,,,,,,,Azogues,,,,,,,,,,,,Azogues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azogues,,,,,,,,,阿索格斯,,,,,-78.833333329999959,-2.733333329999937,http://ca.wikipedia.org/w/index.php?curid=102748
5,ca,Azufral,1.083333330000000,-77.683333329999996,mountain,4070,,CO,,,,"1,802.0000000",mountain,,America-blank-map-01.svg,Azufral.jpg,,936543,Q794264,,,,,,,,,,,,,,,,,,,,,Вулкан Азуфраль,,,,,,,,,,,,,Azufral,,,,,,,,,,,,,Azufral,,,,,,Azufral,,,,,,,,Azufral,,,Volcán Azufral,,,,آسوفرال,,,,,,Azufral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azufral,,,,,,,,,,,Асуфраль,,,,,,,,,,,,,,,,,,,,,,Азуфраль,,,,,,,,,,,,,Azufral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Асуфраль,,,,,,,,,,,,,,,,,,阿蘇夫拉爾火山,,,,,-77.683333329999982,1.083333330000073,http://ca.wikipedia.org/w/index.php?curid=936543
6,ca,Babahoyo,-1.816666670000000,-79.516666670000006,city,,,EC,,,,847.5000000,city,,Babahoyo.jpg,Babahoyo.jpg,,1085046,Q797568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,Babahoyo,,,Babahoyo,,,,,,Babahoyo,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahojas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,Babahoyo,,باباہویو,,,Babahoyo,Babahoyo,,,,Babahoyo,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,Babahoyo,,,,,,,,,巴巴奧約,,,,,-79.516666669999950,-1.816666669999961,http://ca.wikipedia.org/w/index.php?curid=1085046
7,ca,Babahoyo,-1.683333330000000,-79.516666670000006,,,,EC,,,,847.5000000,,,Babahoyo.jpg,Babahoyo.jpg,,1085046,Q797568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,Babahoyo,,,Babahoyo,,,,,,Babahoyo,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahojas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,Babahoyo,,باباہویو,,,Babahoyo,Babahoyo,,,,Babahoyo,,,,,,,,,,,,,,,,Babahoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babahoyo,,Babahoyo,,,,,,,,,巴巴奧約,,,,,-79.516666669999950,-1.683333329999925,http://ca.wikipedia.org/w/index.php?curid=1085046
8,ca,Baltra,-0.450000000000000,-90.266666670000006,isle,,,EC,W,,,"1,161.0000000",isle,,Alvaro_Sevilla_Design_Isla_Santa_Cruz_Galapagos_foto_tomada_desde_el_avión.jpg,Alvaro_Sevilla_Design_Isla_Santa_Cruz_Galapagos_foto_tomada_desde_el_avión.jpg,,456170,Q200772,,,,,,,,,,جزيرة بالترا,,,,,,,,,,,,,,,,,বাল্ট্রা দ্বীপ,,,,,,,Baltra,,,,,,,,,,,,,,,,,,,Baltra,,,,,,,,Baltra Island,,,Isla Baltra,Baltra,,,,,Baltra,,,,Île Baltra,,,,,,,,,,,,,,,,,बाल्ट्रा (गैलापागोस),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,발트라 섬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltra,,,,,,,,,,,,,,,,,,,,,,,Ilha de Baltra,Baltra wat'a,,,,,,,,,,,,,,,,,,,,,Baltra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бальтра (Галапагоські острови),,,,,,,,,,,,,,,,,,巴爾特拉島,,,,,-90.266666669999950,-0.449999999999932,http://ca.wikipedia.org/w/index.php?curid=456170
9,ca,Batalla del Pichincha,0.171111110000000,-78.598055560000006,event,,,,,,,"4,431.0000000",event,,Pichincha_desde_Itchimbia.jpg,Pichincha_desde_Itchimbia.jpg,,22764,Q1402751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batalla del Pichincha,,,,,,,,,,,,,,,,,,,Schlacht am Pichincha,,,,,,,,Battle of Pichincha,,Batalo de Piĉinĉa,Batalla de Pichincha,,,,,,,,,,Bataille de Pichincha,,,,,,,Batalla de Pichincha,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battaglia di Pichincha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slaget ved Pichincha,,,,,,,,,,,,,,,,,,Bitwa u podnóża wulkanu Pichincha,,,,,Batalha de Pichincha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,皮钦查战役,,,,,-78.598055559999978,0.171111110000027,http://ca.wikipedia.org/w/index.php?curid=22764
10,ca,Caquetá,1.616670000000000,-75.599999999999994,adm2nd,,,CO,,,,"1,523.0000000",adm2nd,,Colombia_-_Caquetá.svg,,,71496,Q13985,,,,,,,,,,,,,,,,,,,Kaketas departaments,,,,Какета,,,,,,,Caquetá (departamant),,,,Caquetá,,,,,,,,,,,,,Caquetá (departement),,,,,,Departamento de Caquetá,,,,,,,,Caquetá Department,,Kaketao,Caquetá,,Caquetá,,,,Caquetá (maakunta),,,,Caquetá,,,,,,Caquetá (Roinn),Caquetá,,,,,,,,,,,,,Caquetá (departman),,,,,,,Departemen Caquetá,,,,,Departamento ti Caquetá,,,Dipartimento di Caquetá,,カケタ県,,,კაკეტის დეპარტამენტი,,,,,,,,,,카케타 주,,,,,,,,,,,,,,,,,,Kaketos departamentas,,,,,,,,,,,,,Pentadbiran Caquetá,,,,,,,,,,,,,,,Caquetá,,Caquetá,,,,,,Caquetá,,,,,,,,,,,,Caquetá,,کاکیوتا ڈیپارٹمنٹ,,,Caquetá,Caquetá suyu,,,,Departamentul Caquetá,,,Какета (департамент),,,,,,Caquetá,,,,Departman Caqueta,,,,,,,,,,,,,,,Caquetá,,,,,,,,,,Departamento ng Caquetá,,,,,,Caquetá,,,,,,,,Какета (департамент),,,,,Caquetá (tỉnh),,,,Caqueta (departamento),,,,,,Caquetá Department,,,卡克塔省,,,,,-75.599999999999966,1.616670000000056,http://ca.wikipedia.org/w/index.php?curid=71496
